/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
6.463749118239123e-09,0.8996136716033794,6.447108536586368e-09,0.8996043248469188,6.457991614235266e-09,0.8996347295274786,6.232331677534083e-09,0.8943341448227795,6.311108616279198e-09,0.8989780606575417,6.463749118239123e-09,1.2,6.447108536586368e-09,1.2,6.457991614235266e-09,1.2,6.232331677534083e-09,1.2,6.311108616279198e-09,1.2
6.555199859554952e-09,0.8996548368125661,6.51508429892194e-09,0.8996431680419016,6.540050866284846e-09,0.8996538355731651,6.271342103591331e-09,0.8975515251503088,6.369019016491222e-09,0.8994503800237497,6.555199859554952e-09,1.2,6.51508429892194e-09,1.2,6.540050866284846e-09,1.2,6.271342103591331e-09,1.2,6.369019016491222e-09,1.2
6.624728608675895e-09,0.8996537267032925,6.584077409931043e-09,0.899653508695562,6.610510308476557e-09,0.8996555758544396,6.325623435190267e-09,0.8990519751731806,6.445815084369359e-09,0.8996418583852834,6.624728608675895e-09,1.2,6.584077409931043e-09,1.2,6.610510308476557e-09,1.2,6.325623435190267e-09,1.2,6.445815084369359e-09,1.2
6.714076734687885e-09,0.8996554639718857,6.662847863581345e-09,0.8996542817956008,6.703984437067414e-09,0.8996541863227938,6.384112513062019e-09,0.8994875219077648,6.525525703452239e-09,0.8996517339572855,6.714076734687885e-09,1.2,6.662847863581345e-09,1.2,6.703984437067414e-09,1.2,6.384112513062019e-09,1.2,6.525525703452239e-09,1.2
6.855733624599954e-09,0.8996546211275485,6.79796064503213e-09,0.899655187227443,6.855652604060208e-09,0.8996554846603333,6.46643441835424e-09,0.8996504999714451,6.596706543796074e-09,0.8996565600454779,6.855733624599954e-09,1.2,6.79796064503213e-09,1.2,6.855652604060208e-09,1.2,6.46643441835424e-09,1.2,6.596706543796074e-09,1.2
7.139047404424092e-09,0.8996546892562945,7.068186207933699e-09,0.8996542801719536,7.158988938045796e-09,0.8996537791131479,6.540605421003159e-09,0.8996518215224685,6.691837393284462e-09,0.8996532037736812,7.139047404424092e-09,1.2,7.068186207933699e-09,1.2,7.158988938045796e-09,1.2,6.540605421003159e-09,1.2,6.691837393284462e-09,1.2
7.600399066967828e-09,0.8996546174546762,7.495120428424509e-09,0.8996549713421754,7.703283539504244e-09,0.8996554072640925,6.614334762730146e-09,0.8996557034526411,6.856177710694919e-09,0.8996561120936746,7.600399066967828e-09,1.2,7.495120428424509e-09,1.2,7.703283539504244e-09,1.2,6.614334762730146e-09,1.2,6.856177710694919e-09,1.2
8.300399066967827e-09,0.8996544215368757,8.195120428424509e-09,0.8996541078110787,8.403283539504244e-09,0.8996536669625429,6.710384120383614e-09,0.8996534435664792,7.184858345515833e-09,0.8996531678918088,8.300399066967827e-09,1.2,8.195120428424509e-09,1.2,8.403283539504244e-09,1.2,6.710384120383614e-09,1.2,7.184858345515833e-09,1.2
9.000399066967827e-09,0.8996546683750912,8.895120428424508e-09,0.8996550171915023,9.103283539504243e-09,0.8996553762438159,6.902482835690549e-09,0.899655603793314,7.814183136355935e-09,0.8996559582386441,9.000399066967827e-09,1.2,8.895120428424508e-09,1.2,9.103283539504243e-09,1.2,6.902482835690549e-09,1.2,7.814183136355935e-09,1.2
9.700399066967827e-09,0.8996543606197395,9.595120428424508e-09,0.899654046514591,9.803283539504243e-09,0.8996536973082356,7.28668026630442e-09,0.8996535741664479,8.514183136355934e-09,0.8996531655900794,9.700399066967827e-09,1.2,9.595120428424508e-09,1.2,9.803283539504243e-09,1.2,7.28668026630442e-09,1.2,8.514183136355934e-09,1.2
